,Alloy,Dmax
93,Al81Cr19Si0,0
94,Al83Cr17Si0,0
95,Al96Cr4Si0,0
96,Al88Cr12Si0,0
97,Al90Cr10Si0,0
98,Al92Cr8Si0,0
99,Al94Cr6Si0,0
100,Al62.5Ce25Fe12.5,0
101,Al0Cu20La80,0
102,Al0Cu40La60,0
103,Al0Cu50La50,0
104,Al10Cu0La90,0
105,Al60Cu0La40,0
106,Al70Cu0La30,0
107,Al80Cu0La20,0
108,Al0Cu30Ti70,0
109,Al0Cu80Ti20,0
110,Al0Cu10Ti90,0
111,Al0Cu20Ti80,0
112,Al10Cu0Ti90,0
113,Al20Cu0Ti80,0
114,Al25Cu0Ti75,0
115,Al30Cu0Ti70,0
116,Al35Cu0Ti65,0
117,Al40Cu0Ti60,0
118,Al40Cu60Ti0,0
119,Al45Cu0Ti55,0
120,Al50Cu50Ti0,0
121,Al55Cu0Ti45,0
122,Al60Cu0Ti40,0
123,Al60Cu40Ti0,0
124,Al65Cu0Ti35,0
125,Al70Cu0Ti30,0
126,Al70Cu30Ti0,0
127,Al80Cu0Ti20,0
128,Al87Cu5V8,0
129,Al75Cu25V0,0
130,Al80Cu20V0,0
131,Al100Fe0Ni0,0
132,Al84Fe6Ni10,0
133,Al84Fe14Si2,0
134,Al0Fe66.7Tb33.3,0
135,Al85Gd15Ni0,0
136,Al94Gd6Ni0,0
137,Al46Mg40Pd14,0
138,Al50Mg36Pd14,0
139,Al0Mg55Zn45,0
140,Al0Mg80Zn20,0
141,Al0Mg85Zn15,0
142,Al0Mg90Zn10,0
143,Al0Mg95Zn5,0
144,Al94Mn6Ni0,0
145,Al100Mn0Ni0,0
146,Al92Mn8Ni0,0
147,Al45Mn15Si40,0
148,Al50Mn25Si25,0
149,Al60Mn5Si35,0
150,Al96Nd4Ni0,0
151,Al98Nd2Ni0,0
152,Al82Ni0Sm18,0
153,Al94Ni0Sm6,0
154,Al0Ni50Ti50,0
155,Al0Ni55Ti45,0
156,Al0Ni75Ti25,0
157,Al94.1Ni0Ti5.9,0
158,Al97.1Ni0Ti2.9,0
159,Al98.9Ni0Ti1.1,0
160,Al90Ni10Y0,0
161,Al20Ni0Zr80,0
162,Al25Ni0Zr75,0
163,Al30Ni0Zr70,0
164,Al35Ni5Zr60,0
165,Al50Ni20Zr30,0
166,Al50Ni30Zr20,0
167,Al70Ni30Zr0,0
168,Al80Ni20Zr0,0
169,Al90Ni10Zr0,0
170,B15C0Co85,0
171,B30C0Co70,0
172,B34C0Co66,0
173,B0C5Ni95,0
174,B0C10Ni90,0
175,B0C15Ni85,0
176,B0C20Ni80,0
177,B5C0Ni95,0
178,B16C0Ni84,0
179,B18C0Ni82,0
180,B20C0Ni80,0
181,B22C0Ni78,0
182,B24C0Ni76,0
183,B26C0Ni74,0
184,B46C0Ni54,0
185,B48C0Ni52,0
186,B54C0Ni46,0
187,B20Co80Si0,0
188,B25Co75Si0,0
189,B30Co70Si0,0
190,B15Co85Si0,0
191,B18Fe82P0,0
192,B19Fe81P0,0
193,B21Fe79P0,0
194,B10Mo90Si0,0
195,B15Mo85Si0,0
196,B20Mo80Si0,0
197,B25Mo75Si0,0
198,B30Mo70Si0,0
199,B16Ni84Si0,0
200,B20Ni80Si0,0
201,B24Ni76Si0,0
202,B28Ni72Si0,0
203,B30Ni70Si0,0
204,Be0Si15Ti85,0
205,Be0Si25Ti75,0
206,Be30Si0Ti70,0
207,Be35Si0Ti65,0
208,Be43Si0Ti57,0
209,Be45Si0Ti55,0
210,Be20Ti0Zr80,0
211,Be20Ti80Zr0,0
212,Be30Ti70Zr0,0
213,Be42Ti58Zr0,0
214,Be50Ti50Zr0,0
215,Be2.5Ti0Zr97.5,0
216,Be7.5Ti0Zr92.5,0
217,Be10Ti0Zr90,0
218,Be10Ti90Zr0,0
219,C0Co70Si30,0
220,C0Co75Si25,0
221,C0Co80Si20,0
222,C0Co85Si15,0
223,C0Co90Si10,0
224,C0Co95Si5,0
225,C0Co100Si0,0
226,C10Co90Si0,0
227,C15Co85Si0,0
228,C20Co80Si0,0
229,C0Ni80Si20,0
230,C0Ni85Si15,0
231,C0Ni90Si10,0
232,C0Ni95Si5,0
233,C0Ni100Si0,0
234,C5Ni95Si0,0
235,C10Ni90Si0,0
236,C15Ni85Si0,0
237,C20Ni80Si0,0
238,C0Si13Zr87,0
239,C0Si15Zr85,0
240,C0Si17Zr83,0
241,Ca11Cu0Mg89,0
242,Ca7.5Cu0Mg92.5,0
243,Ca10Mg90Zn0,0
244,Ca7.5Mg92.5Zn0,0
245,Ce0Cu15Mg85,0
246,Ce0Cu10Mg90,0
247,Ce0Mg70Ni30,0
248,Ce10Mg90Ni0,0
249,Cr87Ni0P13,0
250,Cr80Ni0P20,0
251,Cu15La0Mg85,0
252,Cu10La0Mg90,0
253,Cu50La0Mg50,0
254,Cu0Mg92.5Nd7.5,0
255,Cu10Mg90Nd0,0
256,Cu0Mg85Nd15,0
257,Cu0Mg90Nd10,0
258,Cu0Mg95Nd5,0
259,Cu0Mg97.5Nd2.5,0
260,Cu50Mg50Nd0,0
261,Cu60Mg0Nd40,0
262,Cu70Mg0Nd30,0
263,Cu80Mg0Nd20,0
264,Cu0Ni25Ti75,0
265,Cu0Ni60Ti40,0
266,Cu0Ni65Ti35,0
267,Cu30Ni0Ti70,0
268,Cu80Ni0Ti20,0
269,Cu0Ni10Ti90,0
270,Cu0Ni70Ti30,0
271,Cu0Ni75Ti25,0
272,Cu0Ni90Ti10,0
273,Cu10Ni0Ti90,0
274,Cu90Ni0Ti10,0
275,Cu46Ti0Zr54,0
276,Cu66Ti34Zr0,0
277,Cu20Ti80Zr0,0
278,Cu28Ti0Zr72,0
279,Cu30Ti70Zr0,0
280,Cu33Ti0Zr67,0
281,Cu35Ti65Zr0,0
282,Cu75Ti0Zr25,0
283,Cu75Ti25Zr0,0
284,Cu80Ti0Zr20,0
285,Cu85Ti15Zr0,0
286,Cu95Ti0Zr5,0
287,Fe66.7Si0Tb33.3,0
288,La0Mg70Ni30,0
289,La50Mg0Ni50,0
290,Mg95Mn5Y0,0
291,Mg85Mn15Y0,0
292,Mg90Mn0Y10,0
293,Mg90Mn10Y0,0
294,Mg92.5Mn7.5Y0,0
295,Mg0Nd30Ni70,0
296,Mg90Nd0Ni10,0
297,Mg92.5Nd7.5Ni0,0
298,Mg0Nd40Ni60,0
299,Mg0Nd50Ni50,0
300,Mg0Nd80Ni20,0
301,Mg70Nd0Ni30,0
302,Mg85Nd15Ni0,0
303,Mg90Nd10Ni0,0
304,Mg95Nd5Ni0,0
305,Mg97.5Nd2.5Ni0,0
306,Ni25Si0Ti75,0
307,Ni60Si0Ti40,0
308,Ni0Si15Ti85,0
309,Ni0Si25Ti75,0
310,Ni15Si0Ti85,0
311,Ni20Si0Ti80,0
312,Ni45Si0Ti55,0
313,Ni50Si0Ti50,0
314,Ni55Si0Ti45,0
315,Si5Ti95V0,0
316,Si10Ti90V0,0
317,Si25Ti75V0,0
318,Si0Ti90Zr10,0
319,Ag6Ce8Cu86,0
320,Ag20Ce5Cu75,0
321,Ag30Ce5Cu65,0
322,Ag35Ce3Cu62,0
323,Ag45Ce2Cu53,0
324,Ag50Ce2Cu48,0
325,Ag60Ce5Cu35,0
326,Ag60Ce10Cu30,0
327,Ag5Ce5Cu90,0
328,Ag5Ce6Cu89,0
329,Ag5Ce8Cu87,0
330,Ag10Ce3Cu87,0
331,Ag10Ce5Cu85,0
332,Ag15Ce4Cu81,0
333,Ag20Ce3Cu77,0
334,Ag20Ce4Cu76,0
335,Ag30Ce3Cu67,0
336,Ag40Ce1Cu59,0
337,Ag40Ce2Cu58,0
338,Ag60Ce3Cu37,0
339,Ag70Ce5Cu25,0
340,Ag70Ce10Cu20,0
341,Ag21Cu42Fe37,0
342,Ag22Cu41Fe37,0
343,Ag26Cu44Fe30,0
344,Ag29Cu31Fe40,0
345,Ag31Cu37Fe32,0
346,Ag36Cu30Fe34,0
347,Ag40Cu12Fe48,0
348,Ag40Cu40Fe20,0
349,Ag40Cu47Fe13,0
350,Ag11Cu38Fe51,0
351,Ag13Cu32Fe55,0
352,Ag15Cu49Fe36,0
353,Ag15Cu83Fe2,0
354,Ag17Cu20Fe63,0
355,Ag17Cu41Fe42,0
356,Ag22Cu51Fe27,0
357,Ag23Cu10Fe67,0
358,Ag24Cu31Fe45,0
359,Ag25Cu25Fe50,0
360,Ag26Cu23Fe51,0
361,Ag27Cu31Fe42,0
362,Ag28Cu45Fe27,0
363,Ag31Cu49Fe20,0
364,Ag31Cu55Fe14,0
365,Ag32Cu66Fe2,0
366,Ag37Cu6Fe57,0
367,Ag49Cu29Fe22,0
368,Ag51Cu13Fe36,0
369,Ag58Cu32Fe10,0
370,Ag62Cu30Fe8,0
371,Ag63Cu8Fe29,0
372,Ag7Cu84.5P8.5,0
373,Ag7.5Cu86P6.5,0
374,Ag9Cu84.5P6.5,0
375,Ag10.5Cu80.5P9,0
376,Ag12.2Cu81.5P6.3,0
377,Ag14Cu78.5P7.5,0
378,Ag5.5Cu87P7.5,0
379,Ag9Cu82.5P8.5,0
380,Ag9Cu85P6,0
381,Ag5Mg85Y10,0
382,Ag10Mg50Y40,0
383,Ag10Mg85Y5,0
384,Ag20Mg20Y60,0
385,Ag50Mg20Y30,0
386,Ag60Mg20Y20,0
387,Ag5Mg90Y5,0
388,Ag30Mg20Y50,0
389,Ag40Mg20Y40,0
390,Ag50Mg40Y10,0
391,Ag20.9Pd62.6Si16.5,0
392,Al8B14Co78,0
393,Al12B14Co74,0
394,Al20B18Co62,0
395,Al20B22Co58,0
396,Al4B10Co86,0
397,Al4B14Co82,0
398,Al8B10Co82,0
399,Al12B6Co82,0
400,Al12B10Co78,0
401,Al16B10Co74,0
402,Al20B10Co70,0
403,Al20B14Co66,0
404,Al24B22Co54,0
405,Al8B10Fe82,0
406,Al12B6Fe82,0
407,Al12B10Fe78,0
408,Al16B10Fe74,0
409,Al12B14Ni74,0
410,Al24B14Ni62,0
411,Al24B18Ni58,0
412,Al24B22Ni54,0
413,Al28B22Ni50,0
414,Al16B14Ni70,0
415,Al20B14Ni66,0
416,Al28B30Ni42,0
417,Al87.5Ca10Fe2.5,0
418,Al92.5Ca2.5Fe5,0
419,Al90Ca5Fe5,0
420,Al87.5Ca10Ni2.5,0
421,Al92.5Ca2.5Ni5,0
422,Al80Ca10Ni10,0
423,Al85Ca5Ni10,0
424,Al87.5Ca2.5Ni10,0
425,Al88.75Ca1.25Ni10,0
426,Al90Ca5Ni5,0
427,Al75Ce5Co20,0
428,Al75Ce10Co15,0
429,Al75Ce15Co10,0
430,Al77Ce10Co13,0
431,Al80Ce15Co5,0
432,Al94Ce4Co2,0
433,Al95Ce2Co3,0
434,Al89Ce8Cr3,0
435,Al80Ce10Cr10,0
436,Al80Ce15Cr5,0
437,Al83Ce10Cr7,0
438,Al87Ce8Cr5,0
439,Al93Ce2Cr5,0
440,Al94Ce2Cr4,0
441,Al88Ce5Cu7,0
442,Al90Ce5Cu5,0
443,Al2Ce8Cu90,0
444,Al2Ce10Cu88,0
445,Al4Ce8Cu88,0
446,Al4Ce10Cu86,0
447,Al6Ce6Cu88,0
448,Al6Ce8Cu86,0
449,Al8Ce6Cu86,0
450,Al10Ce4Cu86,0
451,Al10Ce6Cu84,0
452,Al70Ce10Cu20,0
453,Al70Ce15Cu15,0
454,Al75Ce5Cu20,0
455,Al75Ce15Cu10,0
456,Al80Ce15Cu5,0
457,Al83Ce2Cu15,0
458,Al88Ce2Cu10,0
459,Al2Ce6Cu92,0
460,Al4Ce4Cu92,0
461,Al6Ce4Cu90,0
462,Al10Ce2Cu88,0
463,Al10Ce10Cu80,0
464,Al12Ce6Cu82,0
465,Al12Ce10Cu78,0
466,Al14Ce6Cu80,0
467,Al14Ce8Cu78,0
468,Al14Ce10Cu76,0
469,Al75Ce15Fe10,0
470,Al75Ce10Fe15,0
471,Al80Ce15Fe5,0
472,Al89Ce1Fe10,0
473,Al94Ce2Fe4,0
474,Al94Ce4Fe2,0
475,Al83Ce10Mn7,0
476,Al87Ce8Mn5,0
477,Al89Ce6Mn5,0
478,Al80Ce10Mn10,0
479,Al85Ce5Mn10,0
480,Al88Ce2Mn10,0
481,Al93Ce2Mn5,0
482,Al94Ce2Mn4,0
483,Al77Ce10Nb13,0
484,Al75Ce15Nb10,0
485,Al80Ce15Nb5,0
486,Al85Ce5Nb10,0
487,Al90Ce5Nb5,0
488,Al80Ce15Ni5,0
489,Al70Ce20Ni10,0
490,Al90Ce5Ni5,0
491,Al60Ce20Ni20,0
492,Al88Ce8V4,0
493,Al89Ce6V5,0
494,Al80Ce10V10,0
495,Al85Ce10V5,0
496,Al85Ce13V2,0
497,Al94Ce2V4,0
498,Al87Co9Fe4,0
499,Al88Co2Fe10,0
500,Al88Co4Fe8,0
501,Al88Co6Fe6,0
502,Al88Co8Fe4,0
503,Al88Co10Fe2,0
504,Al90Co2Fe8,0
505,Al90Co4Fe6,0
506,Al90Co6Fe4,0
507,Al90Co8Fe2,0
508,Al92Co2Fe6,0
509,Al92Co4Fe4,0
510,Al92Co6Fe2,0
511,Al94Co2Fe4,0
512,Al94Co4Fe2,0
513,Al96Co2Fe2,0
514,Al84Co12Fe4,0
515,Al84Co14Fe2,0
516,Al86Co4Fe10,0
517,Al86Co6Fe8,0
518,Al86Co8Fe6,0
519,Al86Co10Fe4,0
520,Al88Co8Mn4,0
521,Al88Co10Mn2,0
522,Al90Co6Mn4,0
523,Al90Co8Mn2,0
524,Al92Co4Mn4,0
525,Al92Co6Mn2,0
526,Al94Co4Mn2,0
527,Al94Co2Mn4,0
528,Al96Co2Mn2,0
529,Al84Co14Mn2,0
530,Al86Co8Mn6,0
531,Al86Co10Mn4,0
532,Al86Co12Mn2,0
533,Al88Co6Mn6,0
534,Al90Co2Mn8,0
535,Al90Co4Mn6,0
536,Al92Co2Mn6,0
537,Al84Co8Ni8,0
538,Al85Co1Ni14,0
539,Al85Co5Ni10,0
540,Al85Co10Ni5,0
541,Al86Co0Ni14,0
542,Al86Co1Ni13,0
543,Al86Co2Ni12,0
544,Al86Co3Ni11,0
545,Al86Co5Ni9,0
546,Al86Co14Ni0,0
547,Al87Co3Ni10,0
548,Al87Co4Ni9,0
549,Al87Co5Ni8,0
550,Al88Co0Ni12,0
551,Al88Co1Ni11,0
552,Al88Co2Ni10,0
553,Al88Co3Ni9,0
554,Al88Co6Ni6,0
555,Al88Co7Ni5,0
556,Al88Co8Ni4,0
557,Al88Co9Ni3,0
558,Al88Co10Ni2,0
559,Al88Co11Ni1,0
560,Al88Co12Ni0,0
561,Al89Co1Ni10,0
562,Al89Co2Ni9,0
563,Al89Co3Ni8,0
564,Al89Co4Ni7,0
565,Al89Co5Ni6,0
566,Al89Co6Ni5,0
567,Al90Co0Ni10,0
568,Al90Co2Ni8,0
569,Al90Co4Ni6,0
570,Al90Co5Ni5,0
571,Al90Co6Ni4,0
572,Al90Co8Ni2,0
573,Al90Co10Ni0,0
574,Al91Co1Ni8,0
575,Al91Co2Ni7,0
576,Al92Co0Ni8,0
577,Al92Co2Ni6,0
578,Al92Co4Ni4,0
579,Al92Co6Ni2,0
580,Al92Co8Ni0,0
581,Al94Co6Ni0,0
582,Al94Co0Ni6,0
583,Al94Co2Ni4,0
584,Al94Co4Ni2,0
585,Al96Co0Ni4,0
586,Al96Co2Ni2,0
587,Al96Co4Ni0,0
588,Al98Co0Ni2,0
589,Al98Co2Ni0,0
590,Al65Cr20Ge15,0
591,Al59Cr19Si22,0
592,Al60Cr18Si22,0
593,Al60Cr20Si20,0
594,Al61Cr21Si18,0
595,Al62Cr19Si19,0
596,Al63Cr19Si18,0
597,Al45Cr20Si35,0
598,Al55Cr20Si25,0
599,Al55Cr25Si20,0
600,Al57Cr23Si20,0
601,Al57Cr28Si15,0
602,Al60Cr5Si35,0
603,Al60Cr30Si10,0
604,Al65Cr25Si10,0
605,Al70Cr5Si25,0
606,Al70Cr25Si5,0
607,Al75Cr5Si20,0
608,Al80Cr5Si15,0
609,Al45Cr15Si40,0
610,Al58Cr20Si22,0
611,Al60Cr25Si15,0
612,Al63Cr15Si22,0
613,Al65Cr15Si20,0
614,Al65Cr20Si15,0
615,Al68Cr15Si17,0
616,Al70Cr10Si20,0
617,Al70Cr15Si15,0
618,Al70Cr20Si10,0
619,Al75Cr10Si15,0
620,Al75Cr15Si10,0
621,Al75Cr20Si5,0
622,Al80Cr10Si10,0
623,Al85Cr5Si10,0
624,Al85Cr10Si5,0
625,Al88Cr10Si2,0
626,Al90Cr5Si5,0
627,Al75Ce20Fe5,0
628,Al77Ce18Fe5,0
629,Al64Ce23Fe13,0
630,Al65Ce20Fe15,0
631,Al67Ce18Fe15,0
632,Al71Ce17Fe12,0
633,Al60Ce20Fe20,0
634,Al65Ce15Fe20,0
635,Al60Ce23Fe17,0
636,Al60Ce25Fe15,0
637,Al65Ce25Fe10,0
638,Al70Ce10Fe20,0
639,Al70Ce15Fe15,0
640,Al70Ce20Fe10,0
641,Al62.5Ce25.5Fe12,0
642,Al10Cu20La70,0
643,Al20Cu10La70,0
644,Al20Cu60La20,0
645,Al40Cu10La50,0
646,Al40Cu20La40,0
647,Al85Cu10La5,0
648,Al10Cu10La80,0
649,Al10Cu50La40,0
650,Al10Cu60La30,0
651,Al10Cu70La20,0
652,Al10Cu80La10,0
653,Al30Cu50La20,0
654,Al30Cu60La10,0
655,Al40Cu30La30,0
656,Al40Cu40La20,0
657,Al50Cu10La40,0
658,Al50Cu20La30,0
659,Al50Cu30La20,0
660,Al50Cu40La10,0
661,Al70Cu20La10,0
662,Al80Cu10La10,0
663,Al25Cu50Mn25,0
664,Al65Cu20Mn15,0
665,Al76Cu8.5Mn15.5,0
666,Al2Cu88Nd10,0
667,Al2Cu90Nd8,0
668,Al2Cu92Nd6,0
669,Al4Cu86Nd10,0
670,Al4Cu88Nd8,0
671,Al4Cu90Nd6,0
672,Al6Cu88Nd6,0
673,Al8Cu86Nd6,0
674,Al10Cu84Nd6,0
675,Al10Cu86Nd4,0
676,Al12Cu82Nd6,0
677,Al12Cu84Nd4,0
678,Al4Cu92Nd4,0
679,Al8Cu82Nd10,0
680,Al8Cu88Nd4,0
681,Al10Cu80Nd10,0
682,Al10Cu88Nd2,0
683,Al12Cu78Nd10,0
684,Al14Cu76Nd10,0
685,Al14Cu78Nd8,0
686,Al14Cu80Nd6,0
687,Al14Cu82Nd4,0
688,Al10Cu70Ti20,0
689,Al20Cu20Ti60,0
690,Al25Cu25Ti50,0
691,Al25Cu30Ti45,0
692,Al30Cu20Ti50,0
693,Al30Cu30Ti40,0
694,Al30Cu40Ti30,0
695,Al35Cu40Ti25,0
696,Al35Cu45Ti20,0
697,Al40Cu30Ti30,0
698,Al40Cu40Ti20,0
699,Al45Cu35Ti20,0
700,Al45Cu40Ti15,0
701,Al55Cu35Ti10,0
702,Al60Cu35Ti5,0
703,Al10Cu10Ti80,0
704,Al10Cu20Ti70,0
705,Al20Cu10Ti70,0
706,Al20Cu70Ti10,0
707,Al25Cu5Ti70,0
708,Al30Cu10Ti60,0
709,Al35Cu5Ti60,0
710,Al40Cu10Ti50,0
711,Al40Cu20Ti40,0
712,Al45Cu5Ti50,0
713,Al45Cu10Ti45,0
714,Al45Cu20Ti35,0
715,Al50Cu5Ti45,0
716,Al50Cu10Ti40,0
717,Al50Cu20Ti30,0
718,Al50Cu30Ti20,0
719,Al55Cu10Ti35,0
720,Al60Cu5Ti35,0
721,Al60Cu10Ti30,0
722,Al60Cu20Ti20,0
723,Al70Cu10Ti20,0
724,Al60Cu35V5,0
725,Al70Cu25V5,0
726,Al75Cu10V15,0
727,Al80Cu5V15,0
728,Al50Cu40V10,0
729,Al60Cu25V15,0
730,Al65Cu15V20,0
731,Al77Cu20V3,0
732,Al87Cu8V5,0
733,Al82Fe4Ni14,0
734,Al84Fe2Ni14,0
735,Al86Fe0Ni14,0
736,Al86Fe1Ni13,0
737,Al86Fe5Ni9,0
738,Al86Fe8Ni6,0
739,Al87Fe4Ni9,0
740,Al87Fe5Ni8,0
741,Al88Fe0Ni12,0
742,Al88Fe2Ni10,0
743,Al88Fe4Ni8,0
744,Al88Fe5Ni7,0
745,Al88Fe6Ni6,0
746,Al88Fe8Ni4,0
747,Al88Fe10Ni2,0
748,Al88Fe12Ni0,0
749,Al89Fe1Ni10,0
750,Al89Fe2Ni9,0
751,Al89Fe3Ni8,0
752,Al89Fe5Ni6,0
753,Al90Fe0Ni10,0
754,Al90Fe2Ni8,0
755,Al90Fe4Ni6,0
756,Al90Fe5Ni5,0
757,Al90Fe6Ni4,0
758,Al90Fe8Ni2,0
759,Al90Fe10Ni0,0
760,Al92Fe0Ni8,0
761,Al92Fe2Ni6,0
762,Al92Fe4Ni4,0
763,Al92Fe6Ni2,0
764,Al92Fe8Ni0,0
765,Al94Fe6Ni0,0
766,Al94Fe0Ni6,0
767,Al94Fe2Ni4,0
768,Al94Fe4Ni2,0
769,Al96Fe0Ni4,0
770,Al96Fe2Ni2,0
771,Al96Fe4Ni0,0
772,Al98Fe0Ni2,0
773,Al98Fe2Ni0,0
774,Al83Fe3Ni14,0
775,Al84Fe3Ni13,0
776,Al84Fe4Ni12,0
777,Al85Fe1Ni14,0
778,Al85Fe2Ni13,0
779,Al85Fe3Ni12,0
780,Al85Fe5Ni10,0
781,Al86Fe4Ni10,0
782,Al86Fe7Ni7,0
783,Al87Fe6Ni7,0
784,Al89Fe4Ni7,0
785,Al89Fe6Ni5,0
786,Al89Fe7Ni4,0
787,Al89Fe9Ni2,0
788,Al90Fe1Ni9,0
789,Al91Fe1Ni8,0
790,Al91Fe2Ni7,0
791,Al91Fe3Ni6,0
792,Al91Fe6Ni3,0
793,Al92Fe5Ni3,0
794,Al84Fe8Ni8,0
795,Al86Fe6Ni8,0
796,Al86Fe10Ni4,0
797,Al86Fe12Ni2,0
798,Al85Fe8Si7,0
799,Al86Fe12Si2,0
800,Al88Fe10Si2,0
801,Al90Fe8Si2,0
802,Al15Fe56.7Tb28.3,0
803,Al8Ga2Mg90,0
804,Al8Ga3Mg89,0
805,Al9Ga2Mg89,0
806,Al75Gd15Ni10,0
807,Al60Gd20Ni20,0
808,Al70Gd20Ni10,0
809,Al75Gd5Ni20,0
810,Al80Gd15Ni5,0
811,Al65Ge15Mn20,0
812,Al45Ge40V15,0
813,Al50Ge25V25,0
814,Al50Ge30V20,0
815,Al50Ge35V15,0
816,Al50Ge40V10,0
817,Al55Ge25V20,0
818,Al60Ge20V20,0
819,Al60Ge35V5,0
820,Al65Ge20V15,0
821,Al65Ge30V5,0
822,Al70Ge20V10,0
823,Al70Ge25V5,0
824,Al75Ge15V10,0
825,Al10La25Ni65,0
826,Al15La25Ni60,0
827,Al20La20Ni60,0
828,Al40La15Ni45,0
829,Al50La15Ni35,0
830,Al55La30Ni15,0
831,Al90La5Ni5,0
832,Al0La30Ni70,0
833,Al0La40Ni60,0
834,Al0La50Ni50,0
835,Al0La90Ni10,0
836,Al10La10Ni80,0
837,Al10La20Ni70,0
838,Al10La90Ni0,0
839,Al20La10Ni70,0
840,Al30La10Ni60,0
841,Al30La15Ni55,0
842,Al40La10Ni50,0
843,Al50La10Ni40,0
844,Al55La35Ni10,0
845,Al60La10Ni30,0
846,Al60La30Ni10,0
847,Al60La40Ni0,0
848,Al65La25Ni10,0
849,Al65La30Ni5,0
850,Al70La15Ni15,0
851,Al70La20Ni10,0
852,Al70La25Ni5,0
853,Al70La30Ni0,0
854,Al75La15Ni10,0
855,Al80La15Ni5,0
856,Al80La20Ni0,0
857,Al42Mg44Pd14,0
858,Al48Mg22Pd30,0
859,Al52Mg18Pd30,0
860,Al54Mg32Pd14,0
861,Al50Mg25Pd25,0
862,Al43Mg44Pd13,0
863,Al52Mg17Pd31,0
864,Al55Mg15Pd30,0
865,Al74Mg5Pd21,0
866,Al5Mg80Zn15,0
867,Al10Mg80Zn10,0
868,Al15Mg70Zn15,0
869,Al15Mg75Zn10,0
870,Al15Mg80Zn5,0
871,Al20Mg70Zn10,0
872,Al10Mg40Zn50,0
873,Al10Mg50Zn40,0
874,Al10Mg60Zn30,0
875,Al20Mg40Zn40,0
876,Al20Mg50Zn30,0
877,Al20Mg60Zn20,0
878,Al30Mg40Zn30,0
879,Al30Mg50Zn20,0
880,Al40Mg40Zn20,0
881,Al50Mg40Zn10,0
882,Al5Mg85Zn10,0
883,Al5Mg90Zn5,0
884,Al10Mg85Zn5,0
885,Al30Mg60Zn10,0
886,Al40Mg50Zn10,0
887,Al82Mn6Ni12,0
888,Al83Mn4Ni13,0
889,Al84Mn4Ni12,0
890,Al84Mn6Ni10,0
891,Al85Mn2Ni13,0
892,Al85Mn7Ni8,0
893,Al86Mn0Ni14,0
894,Al86Mn4Ni10,0
